category,question_en,answer_en,question_fr,answer_fr
map,What do the different colours on the interactive map represent?,"<p>Colours on the interactive map indicate current discharge or water level at each station as a percentage of its respective long-term average.</p>
<ul>
<li> <b>Blue</b> = Above average</li>
<li> <b>Yellow</b> = Near average</li>
<li> <b>Red</b> = Below average</li>
</ul>",,
map,"What is the ""Last Updated"" date on the map?",This date indicates when data were last added to the Explorer. Note that this is not necessarily when the Explorer itself was last updated.,,
map,What are the basin outlines on the map?,"Basins represent major drainage areas in the NWT (e.g., Mackenzie, Slave, Liard, Peel). You can toggle basin boundaries on and off using map controls by clicking the layers icon in the top right of the map.",,
map,What is discharge (flow)?,"Discharge, also referred to as streamflow or flow, is the volume of water passing through a river cross-section per unit of time. It is typically expressed in cubic metres per second (m³/s). Discharge integrates upstream contributions from rainfall, snowmelt, groundwater, and glacial melt within a given basin. These contributions vary depending on soil moisture conditions and upstream water use. Discharge is fundamental for understanding hydrological dynamics, water availability, flood risk, and ecosystem health.",,
map,What is water level (stage)?,"Water level, or stage, is the height of the water surface at a monitoring station, measured relative to a fixed and arbitrary reference point (datum). It is typically expressed in metres (m) and is not related to its height above sea level. Water level is the primary measurement recorded at hydrometric stations and is used to derive discharge through a stage-discharge rating curve.",,
map,Is water level the same as water depth?,"No. Water level (stage) is the height of the water surface measured relative to a fixed and arbitrary reference datum, and it does not indicate the depth of the river or lake. A water level of 5.0 m at a station means the water surface is 5.0 m above the station's datum, not that the water is 5.0 m deep. Water levels are useful for tracking changes over time and for flood thresholds, but they do not directly indicate water depth or navigability.",,
map,How are the data summarized on the interactive map?,The interactive map displays current daily water level as a percentage of the long-term average for each station. Long-term averages are calculated using finalized daily data provided by the Water Survey of Canada.,,
other,Where can I find real-time water level and flow data?,"Real-time hydrometric data for NWT stations are available through the <a href='https://wateroffice.ec.gc.ca/mainmenu/real_time_data_index_e.html'> 
Water Survey of Canada Real-Time Hydrometric Data website</a>. Real-time data are preliminary and subject to revision. ",,
other,Where can I find related reports and datasets?,"<p>Historical daily data and station metadata are available through the Water Survey of Canada HYDAT database (<a href='https://www.canada.ca/en/environment-climate-change/services/water-overview/quantity/monitoring/survey/data-products-services/national-archive-hydat.html'>
National Water Data Archive: HYDAT</a> ). </p>
<p>Summary values, graphs and interpretation are included in GNWT-ECC publications, such as:</p>
<ul>
<li><a href='https://www.gov.nt.ca/ecc/en/services/snow_monitoring'> Spring Outlook Spring Water Level Outlook | Environment and Climate Change</a> (published annually)</li>
<li><a href= 'https://www.gov.nt.ca/ecc/en/services/water-monitoring-bulletins'> Water Monitoring Bulletins </a> (published monthly and as needed during spring break-up)</li>
<li><a href='https://www.gov.nt.ca/ecc/en/services/nwt-state-environment-report/11-state-water'> State of Environment Report 11. State - Water | Environment and Climate Change</a> (published every 5 years)</li>
</ul>
<p>Real-time data are available via the Water Survey of Canada website (Water Level and Flow - Environment Canada).</p>",,
other,What is the purpose of this Data Explorer?,"This Explorer is a visual and interactive tool for exploring water level and flow data from the NWT hydrometric network, operated by the Water Survey of Canada and managed in partnership with the GNWT. It allows users to explore, visualize, and download hydrometric data from stations across the NWT. The Explorer is intended to support public access to water data and complement the official WSC data holdings. ",,
other,What is the recommended citation for this Explorer?,"TBD – The recommended citation format for this Explorer will be provided once the official website URL is available.
<ul> NWT Hydrometric Data Explorer (Version {{VERSION}})  [Shiny app]. Environment and Climate Change; Government of Northwest Territories. URL</ul>",,
other,Who should I contact for more information?,"Contact NWTHydrology-HydrologieTNO@gov.nt.ca"" for additional information or inquiries",,
