"STATION_NUMBER","has_flow","has_level"
"07NA007",FALSE,TRUE
"07NA008",FALSE,TRUE
"07NB001",TRUE,TRUE
"07OA001",TRUE,TRUE
"07OB001",TRUE,TRUE
"07OB002",FALSE,TRUE
"07OB003",TRUE,TRUE
"07OB004",TRUE,TRUE
"07OB006",TRUE,TRUE
"07OB008",TRUE,TRUE
"07OC001",TRUE,TRUE
"07PA001",TRUE,TRUE
"07QC002",FALSE,TRUE
"07QC005",TRUE,TRUE
"07QC006",TRUE,TRUE
"07QC007",TRUE,TRUE
"07QC008",TRUE,TRUE
"07QD002",FALSE,TRUE
"07QD007",TRUE,TRUE
"07RB001",TRUE,TRUE
"07RD001",TRUE,TRUE
"07SA002",TRUE,TRUE
"07SA004",TRUE,TRUE
"07SA008",TRUE,TRUE
"07SB001",FALSE,TRUE
"07SB002",TRUE,FALSE
"07SB003",TRUE,TRUE
"07SB010",TRUE,TRUE
"07SB012",FALSE,TRUE
"07SB013",TRUE,TRUE
"07SB014",FALSE,TRUE
"07SB015",FALSE,TRUE
"07SB017",FALSE,TRUE
"07SB020",TRUE,TRUE
"07SC001",TRUE,TRUE
"07SC002",TRUE,TRUE
"07SC004",TRUE,TRUE
"07SC005",TRUE,TRUE
"07TA001",TRUE,TRUE
"07UC001",TRUE,TRUE
"10AA001",TRUE,TRUE
"10AA004",TRUE,TRUE
"10AA005",TRUE,TRUE
"10AA006",TRUE,TRUE
"10AB001",TRUE,TRUE
"10AC005",TRUE,TRUE
"10AD002",TRUE,TRUE
"10BD001",TRUE,TRUE
"10BE001",TRUE,TRUE
"10BE004",TRUE,TRUE
"10BE007",TRUE,TRUE
"10BE009",TRUE,TRUE
"10BE013",TRUE,TRUE
"10CA001",TRUE,TRUE
"10CB001",TRUE,TRUE
"10CD001",TRUE,TRUE
"10CD003",TRUE,TRUE
"10CD004",TRUE,TRUE
"10CD005",TRUE,TRUE
"10DA001",TRUE,TRUE
"10DB001",TRUE,TRUE
"10EA003",TRUE,TRUE
"10EB001",TRUE,TRUE
"10EC003",TRUE,TRUE
"10EC004",FALSE,TRUE
"10ED001",TRUE,TRUE
"10ED002",TRUE,TRUE
"10ED003",TRUE,TRUE
"10ED007",TRUE,TRUE
"10ED009",TRUE,TRUE
"10ED010",TRUE,TRUE
"10FA002",TRUE,TRUE
"10FB001",TRUE,TRUE
"10FB005",TRUE,TRUE
"10FB006",TRUE,TRUE
"10GA001",TRUE,TRUE
"10GB006",TRUE,TRUE
"10GC001",TRUE,TRUE
"10GC003",TRUE,TRUE
"10GD001",TRUE,TRUE
"10GD002",TRUE,TRUE
"10HA004",TRUE,TRUE
"10HB005",TRUE,TRUE
"10HC008",TRUE,TRUE
"10JA002",TRUE,TRUE
"10JA003",TRUE,TRUE
"10JB001",TRUE,TRUE
"10JC003",TRUE,TRUE
"10JD002",TRUE,TRUE
"10JE002",FALSE,TRUE
"10KA001",TRUE,TRUE
"10KA006",TRUE,TRUE
"10KA007",TRUE,TRUE
"10KA008",TRUE,TRUE
"10KA009",TRUE,TRUE
"10KB001",TRUE,TRUE
"10KC001",TRUE,TRUE
"10KD001",FALSE,TRUE
"10KD009",TRUE,TRUE
"10LA002",TRUE,TRUE
"10LB004",TRUE,TRUE
"10LB005",TRUE,TRUE
"10LB006",TRUE,TRUE
"10LB007",TRUE,TRUE
"10LC002",TRUE,TRUE
"10LC003",TRUE,TRUE
"10LC007",TRUE,TRUE
"10LC012",FALSE,TRUE
"10LC014",TRUE,TRUE
"10LC015",FALSE,TRUE
"10LC017",TRUE,TRUE
"10LC019",FALSE,TRUE
"10LC020",FALSE,TRUE
"10LC021",FALSE,TRUE
"10LD001",FALSE,TRUE
"10LD004",TRUE,TRUE
"10MA001",TRUE,TRUE
"10MA002",TRUE,TRUE
"10MA003",TRUE,TRUE
"10MA005",TRUE,TRUE
"10MB003",TRUE,TRUE
"10MB004",TRUE,TRUE
"10MC002",TRUE,TRUE
"10MC003",TRUE,TRUE
"10MC007",TRUE,TRUE
"10MC008",TRUE,TRUE
"10MC010",FALSE,TRUE
"10MC011",FALSE,TRUE
"10MC022",FALSE,TRUE
"10MC023",FALSE,TRUE
